match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
430,1,2,2,1,0,4,0.8,1.2,1.2,2,0,0,0,0
431,3,2,0,1,3,1,1.4,0.6,1.4,1.6,0,0,0,0
432,2,2,1,1,1,3,1,0.6,1.2,2,0,0,0,1
433,1,2,2,2,2,1,1,1.6,1.4,1,0,0,0,0
434,4,1,0,2,1,2,1.6,0.8,1.6,1.6,0,0,0,2
435,2,1,2,3,0,2,1.2,1.2,2,1,0,0,0,1
339,2,1,2,1,2,2,0.83,1,0.5,0.83,0,0,0,2
338,2,1,2,3,2,0,1,1.33,1.67,0.5,0,0,1,0
337,1,2,2,3,1,1,0.5,0.83,1.17,0.33,0,0,1,0
333,3,0,2,0,2,3,0.83,0.33,0.67,1,1,0,1,2
334,1,1,3,1,1,3,0.67,1.17,0.5,1,0,2,0,1
335,3,0,2,2,0,3,1,1,1,1.17,0,1,1,2
336,1,2,2,4,1,0,0.67,1.33,1.17,0.33,1,0,1,1
340,1,2,2,4,0,1,0.71,1.14,1.14,0.29,1,0,1,1
341,0,2,3,3,0,2,0.57,1.29,1,0.86,1,0,1,1
342,1,1,3,0,3,2,0.57,1,0.57,1.14,1,1,0,2
343,2,0,3,1,1,3,0.86,1.14,0.43,0.86,1,0,0,1
344,3,2,0,1,1,3,1,0.29,1,1.43,0,1,0,2
345,4,0,1,3,1,1,1.14,0.29,0.86,0.86,0,0,0,2
346,3,2,0,1,1,3,1.71,0.57,0.43,0.86,1,0,1,2
349,1,2,2,0,2,3,0.38,0.75,0.63,1.25,0,1,0,2
348,0,3,2,0,3,2,0.63,1.25,0.63,1,1,1,0,2
347,3,1,1,2,1,2,1,0.25,1,0.88,1,1,0,1
